Time t (s),Horizontal Pos. x (m),Absolute Amplitude ∥x (m),\ln(\|x\,Data Status
0,-0.179,0.179,-1.72,Valid
1.05,0.1473,0.1473,-1.915,Valid
2.1,-0.134,0.134,-2.01,Valid
3.15,0.101,0.101,-2.293,Valid
4.2,-0.0725,0.0725,-2.624,Valid
5.25,0.0598,0.0598,-2.817,Valid
6.3,-0.0503,0.0503,-2.99,Cutoff Threshold
