Time t (s),Horizontal Pos. x (m),Absolute Amplitude |x| (m),ln(|x|) (m),Data Status
0,-0.201,0.201,-1.604,Valid
0.966,0.148,0.148,-1.911,Valid
1.931,-0.147,0.147,-1.917,Valid
2.897,0.113,0.113,-2.18,Valid
3.862,-0.116,0.116,-2.154,Valid
4.861,0.0904,0.0904,-2.404,Valid
5.793,-0.103,0.103,-2.273,Valid
6.759,0.0711,0.0711,-2.644,Valid
7.724,-0.0883,0.0883,-2.427,Valid
8.69,0.0584,0.0584,-2.841,Valid
9.622,-0.068,0.068,-2.688,Valid
10.49,0.0498,0.0498,-3.001,Cutoff Threshold
