Trial,Damping Coeff (b),R^2 Value,Instr. Unc (u_i)
1,0.1906,0.9668,0.00285
2,0.1313,0.9808,0.00154
3,0.1614,0.9768,0.00212
4,0.1738,0.9806,0.0025
5,0.1674,0.9189,0.00227
