Time (s),Horizontal Pos. x (m),|x| (m),ln(|x|),Data Status
0,-0.1825,0.1825,-1.701,Valid
1.05,0.1455,0.1455,-1.927,Valid
2.1,-0.132,0.132,-2.026,Valid
3.15,0.0941,0.0941,-2.364,Valid
4.2,-0.0872,0.0872,-2.44,Valid
5.25,0.0625,0.0625,-2.773,Valid
6.3,-0.0596,0.0596,-2.82,Cutoff Threshold
