Time (s),Horizontal Pos. x (m),|x| (m),ln(|x|),Data Status
0,-0.166,0.166,-1.796,Valid
1.099,0.112,0.112,-2.189,Valid
2.031,-0.09751,0.09751,-2.328,Valid
2.996,0.104,0.104,-2.263,Valid
3.962,-0.0901,0.0901,-2.407,Valid
5.027,0.06042,0.06042,-2.807,Valid
6.026,-0.05247,0.05247,-2.949,Valid
6.925,0.03074,0.03074,-3.484,Cutoff Threshold
