Time (s),Horizontal Pos. x (m),|x| (m),ln(|x|),Data Status
0,-0.179,0.179,-1.72,Valid
1.032,0.131,0.131,-2.033,Valid
1.998,-0.117,0.117,-2.146,Valid
2.93,0.107,0.107,-2.235,Valid
3.795,-0.0848,0.0848,-2.468,Valid
4.828,0.0706,0.0706,-2.651,Valid
5.826,-0.0635,0.0635,-2.757,Cutoff Threshold
