Trial,Damping Coeff (b),R^2 Value,Instr. Unc (u_i)
1,0.2118,0.9847,0.00298
2,0.1805,0.9767,0.00259
3,0.1867,0.9641,0.00277
4,0.1858,0.9774,0.00262
5,0.1962,0.9654,0.00278
