Time t (s),Horizontal Pos. x (m),Absolute Amplitude |x| (m),ln(|x|) (m),Data Status
0,-0.199,0.199,-1.614,Valid
0.999,0.156,0.156,-1.858,Valid
1.964,-0.162,0.162,-1.82,Valid
2.963,0.124,0.124,-2.087,Valid
3.962,-0.132,0.132,-2.025,Valid
4.894,0.104,0.104,-2.263,Valid
5.826,-0.113,0.113,-2.18,Valid
6.792,0.0882,0.0882,-2.428,Valid
7.724,-0.0882,0.0882,-2.428,Valid
8.723,0.0652,0.0652,-2.731,Valid
9.688,-0.0697,0.0697,-2.664,Cutoff Threshold
