Time (s),Horizontal Pos. x (m),|x| (m),ln(|x|),Data Status
0,-0.204,0.204,-1.59,Valid
0.999,0.163,0.163,-1.814,Valid
1.964,-0.143,0.143,-1.945,Valid
2.93,0.115,0.115,-2.163,Valid
3.862,-0.117,0.117,-2.146,Valid
4.861,0.0938,0.0938,-2.367,Valid
5.826,-0.0809,0.0809,-2.515,Valid
6.792,0.0618,0.0618,-2.784,Cutoff Threshold
