Time (s),Horizontal Pos. x (m),|x| (m),ln(|x|),Data Status
0,-0.219,0.219,-1.519,Valid
0.999,0.193,0.193,-1.645,Valid
1.931,-0.179,0.179,-1.72,Valid
2.896,0.169,0.169,-1.778,Valid
3.829,-0.155,0.155,-1.864,Valid
4.827,0.147,0.147,-1.917,Valid
5.793,-0.135,0.135,-2.002,Valid
6.725,0.145,0.145,-1.931,Valid
7.691,-0.125,0.125,-2.079,Valid
8.623,0.134,0.134,-2.01,Valid
9.555,-0.125,0.125,-2.079,Valid
10.55,0.12,0.12,-2.12,Valid
11.49,-0.111,0.111,-2.198,Valid
12.45,0.112,0.112,-2.189,Valid
13.42,-0.0938,0.0938,-2.367,Valid
14.35,0.104,0.104,-2.263,Valid
15.31,-0.0949,0.0949,-2.355,Valid
16.28,0.0944,0.0944,-2.36,Valid
17.18,-0.0859,0.0859,-2.455,Valid
18.14,0.0854,0.0854,-2.46,Valid
19.11,-0.0848,0.0848,-2.467,Valid
20.04,0.0815,0.0815,-2.507,Valid
21.04,-0.0764,0.0764,-2.572,Valid
21.94,0.0697,0.0697,-2.664,Cutoff Threshold
