Trial,Damping Coeff (b),R^2 Value,Instr. Unc (u_i)
1,0.1075,0.9445,0.00122
2,0.1021,0.9381,0.00109
3,0.1035,0.9756,0.00111
4,0.1145,0.9159,0.00125
5,0.1145,0.9358,0.00135
