Time t (s),Horizontal Pos. x (m),Absolute Amplitude |x| (m),ln(|x|) (m),Data Status
0,-0.212,0.212,-1.551,Valid
0.999,0.156,0.156,-1.858,Valid
1.964,-0.157,0.157,-1.852,Valid
2.963,0.115,0.115,-2.163,Valid
3.895,-0.118,0.118,-2.137,Valid
4.894,0.0949,0.0949,-2.355,Valid
5.86,-0.0909,0.0909,-2.398,Valid
6.825,0.0858,0.0858,-2.456,Valid
7.791,-0.0848,0.0848,-2.468,Valid
8.723,0.069,0.069,-2.673,Cutoff Threshold
