Time (s),Horizontal Pos. x (m),|x| (m),ln(|x|),Data Status
0,-0.154,0.154,-1.871,Valid
1.032,0.123,0.123,-2.095,Valid
2.064,-0.08681,0.08681,-2.444,Valid
3.03,0.08123,0.08123,-2.51,Valid
4.029,-0.05635,0.05635,-2.877,Valid
5.027,0.05127,0.05127,-2.971,Valid
6.126,-0.03046,0.03046,-3.491,Cutoff Threshold
