Time (s),Horizontal Pos. x (m),|x| (m),ln(|x|),Data Status
0,-0.1753,0.1753,-1.741,Valid
1.05,0.1449,0.1449,-1.932,Valid
2.1,-0.1094,0.1094,-2.213,Valid
3.15,0.0886,0.0886,-2.424,Valid
4.2,-0.0767,0.0767,-2.568,Valid
5.25,0.0727,0.0727,-2.621,Valid
6.3,-0.0533,0.0533,-2.932,Cutoff Threshold
