Time (s),Horizontal Pos. x (m),|x| (m),ln(|x|),Data Status
0,-0.182,0.182,-1.704,Valid
1.032,0.13,0.13,-2.04,Valid
1.964,-0.134,0.134,-2.01,Valid
2.963,0.0975,0.0975,-2.328,Valid
3.962,-0.1,0.1,-2.303,Valid
4.927,0.0675,0.0675,-2.695,Valid
5.893,-0.0777,0.0777,-2.555,Valid
6.858,0.0492,0.0492,-3.011,Cutoff Threshold
