Time (s),Horizontal Pos. x (m),|x| (m),ln(|x|),Data Status
0,-0.153,0.153,-1.877,Valid
1.032,0.111,0.111,-2.198,Valid
1.998,-0.108,0.108,-2.225,Valid
2.996,0.0721,0.0721,-2.629,Valid
3.929,-0.07,0.07,-2.659,Valid
4.927,0.058,0.058,-2.847,Valid
5.86,-0.05,0.05,-2.996,Cutoff Threshold
