Time t (s),Horizontal Pos. x (m),Absolute Amplitude ∥x (m),\ln(\|x\,Data Status
0,-0.208,0.208,-1.57,Valid
0.999,0.16,0.16,-1.833,Valid
1.931,-0.151,0.151,-1.89,Valid
2.93,0.123,0.123,-2.096,Valid
3.862,-0.108,0.108,-2.226,Valid
4.861,0.0944,0.0944,-2.361,Valid
5.826,-0.0893,0.0893,-2.416,Valid
6.792,0.0798,0.0798,-2.529,Valid
7.757,-0.0736,0.0736,-2.609,Valid
8.723,0.0595,0.0595,-2.821,Cutoff Threshold
