Time (s),Horizontal Pos. x (m),|x| (m),ln(|x|),Data Status
0,-0.181,0.181,-1.709,Valid
1.05,0.155,0.155,-1.864,Valid
2.1,-0.105,0.105,-2.254,Valid
3.15,0.108,0.108,-2.226,Valid
4.2,-0.072,0.072,-2.631,Valid
5.25,0.068,0.068,-2.688,Valid
6.3,-0.052,0.052,-2.957,Cutoff Threshold
