Time t (s),Horizontal Pos. x (m),Absolute Amplitude |x| (m),ln(|x|) (m),Data Status
0,-0.217,0.217,-1.528,Valid
0.999,0.167,0.167,-1.79,Valid
1.998,-0.159,0.159,-1.839,Valid
2.93,0.131,0.131,-2.033,Valid
3.929,-0.126,0.126,-2.071,Valid
4.894,0.11,0.11,-2.207,Valid
5.826,-0.11,0.11,-2.207,Valid
6.792,0.0994,0.0994,-2.308,Valid
7.757,-0.082,0.082,-2.501,Valid
8.723,0.0775,0.0775,-2.557,Valid
9.655,-0.0753,0.0753,-2.587,Valid
10.69,0.0646,0.0646,-2.74,Cutoff Threshold
