Trial,Damping Coeff (b),R^2 Value,Instr. Unc (u_i)
1,0.0727,0.9872,0.00066
2,0.0454,0.9718,0.00035
3,0.0733,0.9913,0.00067
4,0.0681,0.9875,0.00063
5,0.0508,0.978,0.00043
